Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
30/04/2019,LTCUSD,66.55,74,66.55,73.51,213160.16,15087550.99
29/04/2019,LTCUSD,67.78,68.36,64.86,66.55,124938.37,8289011.38
28/04/2019,LTCUSD,70.55,70.83,66.77,67.78,153197.63,10473298.04
27/04/2019,LTCUSD,71.64,71.83,70.19,70.55,72380.1,5144455.75
26/04/2019,LTCUSD,70.67,73.5,68.88,71.64,222771.58,15835720.99
25/04/2019,LTCUSD,73.14,74.73,68.88,70.67,199111.84,14353778
24/04/2019,LTCUSD,74.32,75.14,70.26,73.14,294040.15,21302608.02
23/04/2019,LTCUSD,76.93,79.77,73.87,74.32,201957.64,15629332.07
22/04/2019,LTCUSD,77.23,78.3,75.4,76.93,155423.43,11954116.61
21/04/2019,LTCUSD,81.69,82.4,73.54,77.23,207091.55,15863847.61
20/04/2019,LTCUSD,82.57,83.08,79.66,81.69,98430.32,8021828.67
19/04/2019,LTCUSD,82.07,83.73,80.02,82.57,133750.64,10940302.79
18/04/2019,LTCUSD,79.15,83.9,79.14,82.07,176599.74,14421563.48
17/04/2019,LTCUSD,80.89,82.18,78.52,79.15,108074.64,8634174.58
16/04/2019,LTCUSD,78.24,81.86,77.18,80.89,149868.3,11950601.8
15/04/2019,LTCUSD,83.77,84.73,74.95,78.24,260609.48,20823938.43
14/04/2019,LTCUSD,77.95,83.94,76.5,83.77,133001.29,10606877.23
13/04/2019,LTCUSD,78.92,81.63,76.35,77.95,121252.31,9545664.85
12/04/2019,LTCUSD,79.23,81.2,75.44,78.92,171598.88,13452434.53
11/04/2019,LTCUSD,88.43,88.9,75.33,79.23,341644.92,27351078.05
10/04/2019,LTCUSD,86.89,91.99,86.51,88.43,196967.51,17491089.77
09/04/2019,LTCUSD,89.49,89.7,83.81,86.89,169181.21,14762027
08/04/2019,LTCUSD,91.88,94.36,86.58,89.49,272635.43,24514295.09
07/04/2019,LTCUSD,92.37,95.4,89.12,91.88,251501.21,23276040.94
06/04/2019,LTCUSD,88.88,97.88,85.31,92.37,387986.22,35933717.47
05/04/2019,LTCUSD,84.95,90.4,84.13,88.88,257148.01,22514442.81
04/04/2019,LTCUSD,85.72,90.84,80.37,84.95,439429.45,37471679.6
03/04/2019,LTCUSD,77.5,99.89,73.04,85.72,1374140.03,119179926.6
02/04/2019,LTCUSD,60.35,79.38,60.17,77.5,695413,48823272.62
01/04/2019,LTCUSD,60.35,60.83,59.9,60.35,71539.79,4321146.13
19/03/2019,LTCUSD,58.99,59.67,58.97,59.32,11394.81,675600.8
18/03/2019,LTCUSD,60.29,62.22,57.8,58.99,166818.58,9966899.29
17/03/2019,LTCUSD,61.01,61.02,59.38,60.29,89864.17,5419336.12
16/03/2019,LTCUSD,58.13,61.58,58.12,61.01,244276.18,14772491.77
15/03/2019,LTCUSD,55.61,58.58,55.6,58.13,157772.5,9056926.17
14/03/2019,LTCUSD,55.06,57.63,53.11,55.61,145070.99,8034640.65
13/03/2019,LTCUSD,56.2,56.46,54.12,55.06,102059.99,5656269.13
12/03/2019,LTCUSD,54.65,56.7,52.15,56.2,226626,12452092.22
11/03/2019,LTCUSD,56.3,56.95,53.75,54.65,164760.34,9070631.2
10/03/2019,LTCUSD,57.43,57.45,55.77,56.3,127489.6,7202016.88
